id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
731024,"Fabulous  House, walk downtown!",1735494,Steph And Crew,,78702,30.25275,-97.72917,Entire home/apt,400,3,22,2022-05-21,0.19,2,331,18,
356675,Midcentury Modern in Central Austin,1805253,Trey,,78703,30.3054,-97.76974,Entire home/apt,1050,30,2,2013-06-01,0.02,1,0,0,
356719,Cozy and Modern Home,1805524,Jai,,78723,30.30571,-97.69464,Entire home/apt,300,2,1,2012-11-20,0.01,1,0,0,
76925,Comfy Digs in East Austin,411190,Lynn,,78702,30.25505,-97.72552,Entire home/apt,400,2,16,2019-05-27,0.12,1,0,0,
356837,Upscale 3 story Downtown Townhouse,1806205,Varun,,78701,30.28184,-97.74276,Entire home/apt,428,14,34,2022-05-15,0.28,3,325,24,
76996,The Travis Heights Tree House,1665428,Krista,,78704,30.23872,-97.74521,Entire home/apt,85,28,44,2021-05-22,0.32,2,99,0,
357529,Zilker Home close to everything,1808807,Renee,,78704,30.25478,-97.76854,Entire home/apt,192,3,296,2022-06-03,2.38,2,169,44,
733203,"Bold, Historic Manor in the Heart of Town",3820555,Justin&Becca,,78702,30.27221,-97.72846,Entire home/apt,771,2,276,2022-05-15,2.36,2,316,25,
77347,Room or rooms,382265,Leslie,,78733,30.33877,-97.882,Private room,104,2,0,,,1,0,0,
735592,Casita de Piscina,263280,Cristen,,78737,30.222415811269872,-97.91042049239918,Entire home/apt,250,2,0,,,1,353,0,
735659,4 BR 3.5 BA Home in Golf Community,3837842,Catherine,,78738,30.32518,-97.97659,Entire home/apt,1200,3,0,,,1,0,0,
735775,2000 s.f. house for sxsw!,3005855,Tami,,78745,30.18722,-97.78813,Entire home/apt,375,3,0,,,1,0,0,
358164,Beautiful  Private Cottage,1812799,Monica,,78751,30.3124,-97.72007,Private room,95,2,201,2022-06-07,1.61,1,286,23,
358643,Entertainers Delight Close to SOCO,1815367,Kathy,,78704,30.22971,-97.76695,Entire home/apt,800,1,0,,,1,0,0,
362460,SXSW  Bungalow Available 2/1,1831617,Chris,,78756,30.31744,-97.74547,Entire home/apt,625,4,0,,,1,0,0,
363040,Zilker Festival Suite,213651,Daniel,,78704,30.25433,-97.77582,Entire home/apt,90,2,317,2022-05-23,2.55,2,75,46,
363944,The Big Zilker. Minutes to it all!,1840480,Scott & Sally,,78704,30.25795,-97.77202,Entire home/apt,1112,4,31,2022-04-25,0.31,12,150,4,
77639,Sweet South Austin Spot,416628,Carlos,,78704,30.25023,-97.77985,Entire home/apt,179,2,43,2022-05-26,0.46,1,353,13,
364025,Perfect for ACL/SXSW. Walk everywhere!,1839064,Adriana,,78703,30.27371,-97.75301,Entire home/apt,225,5,13,2019-03-14,0.12,1,0,0,
364121,Private romantic getaway 150' above Lake Travis,871765,Bruce,,78734,30.39243,-97.92007,Hotel room,210,2,1,2017-10-22,0.02,1,365,0,
364269,Zilker Treehouse! Walk/Bike to Parks and Eateries,1840480,Scott & Sally,,78704,30.25954,-97.76978,Entire home/apt,348,4,92,2022-05-17,0.74,12,252,8,
736279,2 Miles From The Domain & Whole Foods!,3842544,Laura,,78759,30.41276,-97.72443,Private room,70,30,17,2022-05-07,0.16,1,299,2,
742593,Cool Updated Craftsman Bungalow in Hyde Park.,2862517,Robert,,78751,30.31197,-97.72955,Entire home/apt,334,3,114,2022-05-22,1.01,2,142,37,
743362,The Boho Nest - 15 mins to DT & COTA  3BR/2BTH,3893968,Scott,,78744,30.19538,-97.69632,Entire home/apt,199,3,20,2022-04-05,0.23,1,232,16,
746317,Walk to Zilker Park. Amazing Location! 1 Gigabit,1840480,Scott & Sally,,78704,30.25909,-97.77017,Entire home/apt,298,4,73,2022-04-21,0.65,12,236,8,
78035,Modern Gem featured by Dwell. Pool + HotTub.,419192,Keith And Shannon,,78704,30.25659,-97.76772,Entire home/apt,750,4,90,2020-04-23,1.40,1,0,0,
364402,Short + long term - Central Austin!,1841318,Alice,,78751,30.32104,-97.71852,Private room,65,60,16,2022-05-31,0.17,1,363,1,
78127,Downtown Luxury Home/ Clean/ PERFECT LOCATION,419707,Julia,,78701,30.27672,-97.74799,Entire home/apt,240,1,6,2019-05-26,0.04,3,0,0,
78422,Living the Dream on Richardine (East Austin),421002,E. Dixie,,78702,30.27443,-97.71135,Entire home/apt,103,7,6,2022-02-05,0.04,1,4,3,
365471,Hip E.Side Downtwn House Walk 2 ALL!,1845598,D.K.,,78702,30.25917,-97.73425,Entire home/apt,443,1,99,2022-05-22,0.79,1,44,18,
367356,New listing! Modern Austin home super close to downtown w/free WiFi/full kitchen,1488733,Vacasa Texas,,78751,30.30651,-97.72278,Entire home/apt,164,1,176,2022-05-20,1.42,29,362,9,
367366,Large ATX Home Minutes to Downtown,1854873,Alex,,78721,30.26309,-97.68447,Entire home/apt,202,2,146,2022-05-11,1.78,1,130,22,
747499,Charming Cottage Close to Downtown,3924382,Phillip,,78703,30.28026,-97.75703,Entire home/apt,500,3,102,2021-11-05,0.88,1,107,4,
750935,"3BR/2BA Dwntwn House, AVOID TRAFFIC",3948329,James,,78702,30.2702,-97.72862,Entire home/apt,700,2,35,2022-05-15,0.31,1,354,10,
751847,"Large Dining, Open Floor Plan by AustinGetaways",487072,Greg & Amanda,,78757,30.36084,-97.72593,Entire home/apt,333,45,133,2022-06-03,1.36,14,155,5,
78731,Large Room and Private Bath in Central East Austin,423131,Robin,,78702,30.27011,-97.72693,Private room,130,3,196,2022-05-30,1.57,1,42,12,
760036,Luxury urban loft downtown Austin,4005799,Gabe,,78701,30.26836,-97.74724,Entire home/apt,200,14,3,2022-02-11,0.18,2,188,1,
761955,Gorgeous Modern Home in Zilker,11762795,Mandi,,78704,30.24852,-97.78277,Entire home/apt,1000,3,7,2017-03-13,0.06,1,359,0,
367789,Completely Renovated Mid Century,1856695,John,,78703,30.30549,-97.77147,Entire home/apt,2150,4,1,2014-03-17,0.01,1,0,0,
369090,SXSW Walk to Downtown. 2br Apt.,1861886,Sarah,,78704,30.25858,-97.75181,Entire home/apt,650,1,0,,,1,0,0,
